site,treatment,sample_name,timepoint,rep,vial_name,CO2_ppm,CH4_ppm,DOC_mgL
TO,T1,TO-T1,0,a,TO-T1-0a,5184.948271,25.67683013,
TO,T1,TO-T1,0,b,TO-T1-0b,5521.873906,16.17937982,
TO,T1,TO-T1,0,c,TO-T1-0c,3482.94137,26.05194454,
TO,T2,TO-T2,0,a,TO-T2-0a,5514.408225,438.3974278,
TO,T2,TO-T2,0,b,TO-T2-0b,5850.604937,648.5582892,
TO,T2,TO-T2,0,c,TO-T2-0c,6484.982286,756.0404329,
TO,T3,TO-T3,0,a,TO-T3-0a,3868.789047,31.67473262,
TO,T3,TO-T3,0,b,TO-T3-0b,4057.700517,16.91762222,
TO,T3,TO-T3,0,c,TO-T3-0c,4055.0662,25.61799672,
TO,T1,TO-T1,1,a,TO-T1-1a,6656.965652,485.6707519,
TO,T1,TO-T1,1,b,TO-T1-1b,6664.808423,282.1000096,
TO,T1,TO-T1,1,c,TO-T1-1c,5360.821009,410.1618612,
TO,T2,TO-T2,1,a,TO-T2-1a,4345.124813,25.13195973,
TO,T2,TO-T2,1,b,TO-T2-1b,4176.021284,74.33831722,
TO,T2,TO-T2,1,c,TO-T2-1c,3604.50369,18.52827739,
TO,T3,TO-T3,1,a,TO-T3-1a,4681.463548,250.9838127,
TO,T3,TO-T3,1,b,TO-T3-1b,7593.991679,263.0072539,
TO,T3,TO-T3,1,c,TO-T3-1c,6684.515094,303.8734151,
TO,T1,TO-T1,3,a,TO-T1-3a,9004.983703,2485.508039,
TO,T1,TO-T1,3,b,TO-T1-3b,6694.367999,1880.554474,
TO,T1,TO-T1,3,c,TO-T1-3c,8684.364107,2374.338472,
TO,T2,TO-T2,3,a,TO-T2-3a,8822.259468,1997.025713,
TO,T2,TO-T2,3,b,TO-T2-3b,8428.207385,1925.103817,
TO,T2,TO-T2,3,c,TO-T2-3c,8748.440115,1773.886654,
TO,T3,TO-T3,3,a,TO-T3-3a,8577.006141,1450.517439,
TO,T3,TO-T3,3,b,TO-T3-3b,8068.937848,1167.249379,
TO,T3,TO-T3,3,c,TO-T3-3c,7879.240365,1127.746384,
TO,T1,TO-T1,7,a,TO-T1-7a,10025.71081,7514.77225,
TO,T1,TO-T1,7,b,TO-T1-7b,8701.08248,6116.04441,
TO,T1,TO-T1,7,c,TO-T1-7c,9301.638685,7106.254893,
TO,T2,TO-T2,7,a,TO-T2-7a,9050.488278,4038.205299,
TO,T2,TO-T2,7,b,TO-T2-7b,8507.814955,3595.795661,
TO,T2,TO-T2,7,c,TO-T2-7c,10134.54448,4389.69426,
TO,T3,TO-T3,7,a,TO-T3-7a,8746.194768,2255.679451,
TO,T3,TO-T3,7,b,TO-T3-7b,10664.86147,2950.253326,
TO,T3,TO-T3,7,c,TO-T3-7c,9178.82687,1540.440984,
PA,T1,PA-T1,0,a,PA-T1-0a,9071.301234,170.0114198,
PA,T1,PA-T1,0,b,PA-T1-0b,7122.791837,195.2899456,
PA,T1,PA-T1,0,c,PA-T1-0c,7385.565073,198.345836,
PA,T2,PA-T2,0,a,PA-T2-0a,8968.086775,139.0889923,
PA,T2,PA-T2,0,b,PA-T2-0b,8696.999805,263.0869204,
PA,T2,PA-T2,0,c,PA-T2-0c,9431.775717,187.9433902,
PA,T3,PA-T3,0,a,PA-T3-0a,7152.51215,63.30841136,
PA,T3,PA-T3,0,b,PA-T3-0b,6558.815096,207.2038998,
PA,T3,PA-T3,0,c,PA-T3-0c,8366.988683,144.3004768,
PA,T1,PA-T1,1,a,PA-T1-1a,9124.630326,116.0593587,
PA,T1,PA-T1,1,b,PA-T1-1b,8571.407387,9.225896321,
PA,T1,PA-T1,1,c,PA-T1-1c,7853.992699,65.75798758,
PA,T2,PA-T2,1,a,PA-T2-1a,7328.370629,77.40292309,
PA,T2,PA-T2,1,b,PA-T2-1b,7169.37927,33.7856068,
PA,T2,PA-T2,1,c,PA-T2-1c,6589.389635,62.20611051,
PA,T3,PA-T3,1,a,PA-T3-1a,7375.933005,10.71853121,
PA,T3,PA-T3,1,b,PA-T3-1b,8105.983439,45.59792491,
PA,T3,PA-T3,1,c,PA-T3-1c,6066.224937,53.37311956,
PA,T1,PA-T1,3,a,PA-T1-3a,2296.529167,18.48493039,
PA,T1,PA-T1,3,b,PA-T1-3b,8325.569681,69.27437782,
PA,T1,PA-T1,3,c,PA-T1-3c,7578.549671,123.9028516,
PA,T2,PA-T2,3,a,PA-T2-3a,7886.654001,120.4314367,
PA,T2,PA-T2,3,b,PA-T2-3b,7481.669992,70.87795906,
PA,T2,PA-T2,3,c,PA-T2-3c,7229.812854,57.89709483,
PA,T3,PA-T3,3,a,PA-T3-3a,7659.361675,86.18950293,
PA,T3,PA-T3,3,b,PA-T3-3b,8450.011342,26.83591064,
PA,T3,PA-T3,3,c,PA-T3-3c,6350.150595,63.34592273,
PA,T1,PA-T1,7,a,PA-T1-7a,8380.993949,168.0207619,
PA,T1,PA-T1,7,b,PA-T1-7b,7279.597167,157.8712333,
PA,T1,PA-T1,7,c,PA-T1-7c,8361.18633,225.0973755,
PA,T2,PA-T2,7,a,PA-T2-7a,931.8751521,3.063162944,
PA,T2,PA-T2,7,b,PA-T2-7b,9204.53311,58.82654268,
PA,T2,PA-T2,7,c,PA-T2-7c,8969.285091,118.8650009,
PA,T3,PA-T3,7,a,PA-T3-7a,7874.832179,105.1851756,
PA,T3,PA-T3,7,b,PA-T3-7b,7666.37917,39.80424479,
PA,T3,PA-T3,7,c,PA-T3-7c,7561.703036,69.92044642,
