Site,Sample,DOC,TDN
Manantial,Manantial 1,0.615,2.705
Manantial,Manantial 1,0.586,2.778
Manantial,Manantial 1,0.62,2.863
Manantial,Manantial 2,6.304,2.589
Manantial,Manantial 2,5.364,2.714
Manantial,Manantial 2,5.153,2.768
Manantial,Manantial 3,1.197,3.005
Manantial,Manantial 3,1.113,3.054
Manantial,Manantial 3,1.131,3.113
Palmas,Palmas 1,17.948,1.521
Palmas,Palmas 1,17.626,1.594
Palmas,Palmas 1,17.385,1.598
Palmas,Palmas 2,20.269,1.216
Palmas,Palmas 2,20.857,1.234
Palmas,Palmas 2,20.841,1.223
Palmas,Palmas 3,22.702,1.332
Palmas,Palmas 3,22.944,1.365
Palmas,Palmas 3,23.021,1.363
Palmas,Palmas 3,21.306,1.215
Palmas,Palmas 3,23.068,1.29
Palmas,Palmas 3,24.028,1.343
Tortuguero,Tortuguero,27.965,1.5
Tortuguero,Tortuguero,29.354,1.561
Tortuguero,Tortuguero,29.899,1.59
Tortuguero,Tortuguero,27.149,1.398
Tortuguero,Tortuguero,23.237,1.344
Tortuguero,Tortuguero,25.486,1.398
Tortuguero,Tortuguero 2,30.939,1.571
Tortuguero,Tortuguero 2,31.575,1.616
Tortuguero,Tortuguero 2,31.603,1.63
Tortuguero,Tortuguero 2,32.635,1.595
Tortuguero,Tortuguero 2,32.386,1.579
Tortuguero,Tortuguero 2,32.662,1.595
