Wetland,Municipality,Wetland type,Wetland condition,Lat,Long,Area_ha,LDI index
Manantial,Vega Baja,Forested,Ref,18.468492,-66.423153,189.58,2
Loiza,Loíza,Forested,Ref,18.416339,-65.912722,198.45,3.2
CEN,Luquilo,Emergent,Ref,18.363844,-65.695622,84.9,1.4
Esperanza,Manatí,Emergent,Ref,18.465542,-66.5033,70.07,2
Arroyo,Arroyo,Emergent,Ref,17.9638,-66.043283,116.2,2.2
Palmas,Humacao,Forested,Ref,18.092878,-65.8006,50.78,6.9
Pasto Viejo,Humacao,Emergent,Imp,18.160804,-65.777437,406.18,4.3
Río Grande,Río Grande,Emergent,Imp,18.399278,-65.825162,246.43,3.1
Tortuguero,Vega Baja,Forested,Imp,18.469074,-66.45231,20.9,0.1
Laguna Cartagena,Lajas,Emergent,Imp,18.013979,-67.098724,146.41,6
Plaza Canóvanas,Canóvanas,Forested,Imp,18.380443,-65.886776,236.05,6.2
PR3,Luquillo,Forested,Imp,18.379994,-65.748757,54.58,8.6
